Order Number,Order Date,Item Name,Quantity,Product Price,Total products
16101,03/08/2019,Bombay Aloo,1,5.95,3
16100,03/08/2019,Masala Sauce,1,3.95,9
16100,03/08/2019,Mushroom Rice,1,3.95,9
16100,03/08/2019,Bottle Coke,1,2.95,9
16100,03/08/2019,Peshwari Naan,1,2.95,9
16100,03/08/2019,Tandoori Mixed Grill,2,11.95,9
16100,03/08/2019,Plain Papadum,3,0.8,9
16100,03/08/2019,Mint Sauce,1,0.5,9
16100,03/08/2019,Mango Chutney,1,0.5,9
16100,03/08/2019,Korma Sauce,1,3.95,9
16099,03/08/2019,Pathia - Prawn,1,9.95,5
16099,03/08/2019,Chicken Biryani,1,9.95,5
16099,03/08/2019,Peshwari Naan,2,2.95,5
16099,03/08/2019,Plain Papadum,1,0.8,5
16099,03/08/2019,Mint Sauce,1,0.5,5
16098,03/08/2019,Chicken Tikka Jalfrezi,1,8.95,6
16098,03/08/2019,Bhuna - Lamb,1,8.95,6
16098,03/08/2019,Special Fried Rice,2,3.95,6
16098,03/08/2019,Peshwari Naan,1,2.95,6
16098,03/08/2019,Aloo Gobi,1,5.95,6
16098,03/08/2019,Chicken Tikka Masala,1,8.95,6
16097,03/08/2019,Meat Samosa,1,3.95,9
16097,03/08/2019,Mixed Vegetable Curry,1,5.95,9
16097,03/08/2019,Dupiaza - Lamb,1,8.95,9
16097,03/08/2019,Lemon Rice,1,3.95,9
16097,03/08/2019,Methi - Lamb,1,8.95,9
16097,03/08/2019,Pilau Rice,1,2.95,9
16097,03/08/2019,Garlic Naan,1,2.95,9
16097,03/08/2019,Onion Bhajee,1,3.95,9
16097,03/08/2019,Spicy Papadum,1,0.8,9
16096,03/08/2019,Plain Naan,1,2.6,5
16096,03/08/2019,Pilau Rice,1,2.95,5
16096,03/08/2019,Chicken Tikka Masala,1,8.95,5
16096,03/08/2019,Bhuna - Lamb,1,8.95,5
16096,03/08/2019,Plain Papadum,2,0.8,5
16095,03/08/2019,Lamb Biryani,1,9.95,2
16095,03/08/2019,Plain Naan,2,2.6,2
16094,02/08/2019,Lamb Tikka,1,4.95,9
16094,02/08/2019,Onion Bhajee,1,3.95,9
16094,02/08/2019,Saag Paneer,1,5.95,9
16094,02/08/2019,Chicken Tikka Masala,1,8.95,9
16094,02/08/2019,Keema Rice,1,3.95,9
16094,02/08/2019,Rogon - Lamb,1,8.95,9
16094,02/08/2019,Chicken Tikka Karahi,1,9.95,9
16094,02/08/2019,Pilau Rice,1,2.95,9
16094,02/08/2019,Bombay Aloo,1,5.95,9
16093,02/08/2019,Onion Bhajee,1,3.95,6
16093,02/08/2019,French Fries,1,3.95,6
16093,02/08/2019,Chicken Tikka Masala,1,8.95,6
16093,02/08/2019,Korma - Chicken,1,8.95,6
16093,02/08/2019,Plain Naan,1,2.6,6
16093,02/08/2019,Pilau Rice,1,2.95,6
16092,02/08/2019,Aloo Chaat,1,4.95,5
16092,02/08/2019,Chicken Tikka Masala,1,8.95,5
16092,02/08/2019,Garlic Naan,1,2.95,5
16092,02/08/2019,Pilau Rice,1,2.95,5
16092,02/08/2019,Bhuna - Chicken,1,8.95,5
16091,02/08/2019,Plain Papadum,3,0.8,5
16091,02/08/2019,Lemon Rice,1,3.95,5
16091,02/08/2019,Lamb Mysore,1,9.95,5
16091,02/08/2019,Dhansak - Chicken,1,8.95,5
16091,02/08/2019,Chapati,1,1.95,5
16090,02/08/2019,Lamb Biryani,2,9.95,2
16090,02/08/2019,Peshwari Naan,1,2.95,2
16089,02/08/2019,Onion Bhajee,1,3.95,21
16089,02/08/2019,Aloo Gobi,1,5.95,21
16089,02/08/2019,Chicken Biryani,1,9.95,21
16089,02/08/2019,Madras - Chicken,1,7.95,21
16089,02/08/2019,Korma - Chicken,1,8.95,21
16089,02/08/2019,Chicken Balti,1,9.95,21
16089,02/08/2019,Chicken Tikka Chilli Masala,1,8.95,21
16089,02/08/2019,Lal Mirch Chicken,1,9.95,21
16089,02/08/2019,Korma - Prawn,1,9.95,21
16089,02/08/2019,Korma - King Prawn,1,12.95,21
16089,02/08/2019,Plain Rice,1,2.95,21
16089,02/08/2019,Mushroom Rice,2,3.95,21
16089,02/08/2019,Garlic Naan,1,2.95,21
16089,02/08/2019,Keema Naan,1,2.95,21
16089,02/08/2019,Peshwari Naan,1,2.95,21
16089,02/08/2019,Plain Papadum,10,0.8,21
16089,02/08/2019,Spicy Papadum,2,0.8,21
16089,02/08/2019,Mango Chutney,2,0.5,21
16089,02/08/2019,Onion Chutney,6,0.5,21
16089,02/08/2019,Red Sauce,4,0.5,21
16089,02/08/2019,Mint Sauce,2,0.5,21
16088,02/08/2019,Vindaloo - Chicken,1,7.95,7
16088,02/08/2019,Madras - Chicken Tikka,1,7.95,7
16088,02/08/2019,Plain Rice,2,2.95,7
16088,02/08/2019,Plain Naan,2,2.6,7
16088,02/08/2019,Madras - Chicken,1,7.95,7
16088,02/08/2019,Plain Papadum,4,0.8,7
16088,02/08/2019,Bombay Aloo,1,5.95,7
16087,02/08/2019,Chicken Tikka Jalfrezi,1,8.95,5
16087,02/08/2019,Pilau Rice,1,2.95,5
16087,02/08/2019,Plain Papadum,2,0.8,5
16087,02/08/2019,Spicy Papadum,1,0.8,5
16087,02/08/2019,Vindaloo Sauce,1,3.95,5
16086,02/08/2019,Onion Bhajee,1,3.95,8
16086,02/08/2019,Mango Chutney,1,0.5,8
16086,02/08/2019,Meat Samosa,1,3.95,8
16086,02/08/2019,Chicken Pakora,1,5.95,8
16086,02/08/2019,Lamb Biryani,1,9.95,8
16086,02/08/2019,Chicken Biryani,1,9.95,8
16086,02/08/2019,Chicken Tikka Biryani,1,10.95,8
16086,02/08/2019,Aloo Gobi,1,5.95,8
16085,02/08/2019,Chicken Tikka Jalfrezi,1,8.95,7
16085,02/08/2019,Bombay Aloo,1,5.95,7
16085,02/08/2019,Chana Masala,1,5.95,7
16085,02/08/2019,Dupiaza - Chicken,1,8.95,7
16085,02/08/2019,Keema Naan,1,2.95,7
16085,02/08/2019,Pilau Rice,1,2.95,7
16085,02/08/2019,Mushroom Rice,1,3.95,7
16084,02/08/2019,Muttar Paneer,1,5.95,4
16084,02/08/2019,Garlic Naan,1,2.95,4
16084,02/08/2019,Mushroom Rice,1,3.95,4
16084,02/08/2019,Plain Naan,1,2.6,4
16083,02/08/2019,Chicken Tikka (Main),2,8.95,15
16083,02/08/2019,Tandoori Mixed Grill,1,11.95,15
16083,02/08/2019,Chicken Tikka Masala,1,8.95,15
16083,02/08/2019,Curry - Chicken,1,7.95,15
16083,02/08/2019,Bombay Aloo,2,5.95,15
16083,02/08/2019,Muttar Paneer,1,5.95,15
16083,02/08/2019,Plain Naan,4,2.6,15
16083,02/08/2019,Pilau Rice,4,2.95,15
16083,02/08/2019,Keema Rice,1,3.95,15
16083,02/08/2019,Aloo Chaat,1,4.95,15
16083,02/08/2019,Chicken Balti,1,9.95,15
16083,02/08/2019,Chicken Shashlick,1,9.95,15
16083,02/08/2019,Vegetable Balti,1,9.95,15
16083,02/08/2019,Cauliflower Bhajee,1,5.95,15
16083,02/08/2019,Vindaloo - Chicken,1,7.95,15
16082,01/08/2019,Butter Chicken,1,9.95,2
16082,01/08/2019,Prawn Balti,1,10.95,2
16081,01/08/2019,Tandoori Chicken Masala,1,8.95,9
16081,01/08/2019,Curry - Chicken,1,7.95,9
16081,01/08/2019,Aloo Gobi,1,5.95,9
16081,01/08/2019,Plain Naan,1,2.6,9
16081,01/08/2019,Pilau Rice,1,2.95,9
16081,01/08/2019,Plain Papadum,1,0.8,9
16081,01/08/2019,Red Sauce,1,0.5,9
16081,01/08/2019,Mango Chutney,1,0.5,9
16081,01/08/2019,Mixed Starter,1,5.95,9
16080,01/08/2019,Madras - Lamb,1,7.95,6
16080,01/08/2019,Mushroom Rice,1,3.95,6
16080,01/08/2019,French Fries,1,3.95,6
16080,01/08/2019,Korma - Chicken,2,8.95,6
16080,01/08/2019,Plain Naan,1,2.6,6
16080,01/08/2019,Garlic Naan,1,2.95,6
16079,01/08/2019,Plain Papadum,4,0.8,5
16079,01/08/2019,Pathia - Chicken Tikka,2,8.95,5
16079,01/08/2019,COBRA ( LARGE ),1,5.95,5
16079,01/08/2019,House white wine 75cl,1,17.95,5
16079,01/08/2019,Pilau Rice,2,2.95,5
16078,01/08/2019,Lamb Tikka,1,4.95,6
16078,01/08/2019,Lime Pickle,1,0.5,6
16078,01/08/2019,Onion Chutney,1,0.5,6
16078,01/08/2019,Plain Rice,1,2.95,6
16078,01/08/2019,King Prawn Shaslick,1,12.95,6
16078,01/08/2019,COBRA ( LARGE ),2,5.95,6
16077,01/08/2019,Chicken Tikka Biryani,1,10.95,3
16077,01/08/2019,Stuffed Paratha,1,3.95,3
16077,01/08/2019,Meat Samosa,1,3.95,3
16076,01/08/2019,Plain Rice,1,2.95,7
16076,01/08/2019,Plain Naan,2,2.6,7
16076,01/08/2019,Mixed Vegetable Curry,1,5.95,7
16076,01/08/2019,Aloo Gobi,1,5.95,7
16076,01/08/2019,Curry Sauce,1,3.95,7
16076,01/08/2019,Mango Chutney,1,0.5,7
16076,01/08/2019,Raitha,1,2.95,7
16075,01/08/2019,Madras - Chicken,1,7.95,4
16075,01/08/2019,Plain Naan,1,2.6,4
16075,01/08/2019,Bottle Diet Coke,1,2.95,4
16075,01/08/2019,Plain Rice,1,2.95,4
16074,01/08/2019,Bombay Aloo,1,5.95,4
16074,01/08/2019,Chicken Tikka Jalfrezi,1,8.95,4
16074,01/08/2019,Mushroom Rice,1,3.95,4
16074,01/08/2019,Plain Papadum,2,0.8,4
16073,01/08/2019,Cauliflower Bhajee,1,5.95,4
16073,01/08/2019,Dhansak - Chicken,1,8.95,4
16073,01/08/2019,Tarka Dall,2,5.95,4
16073,01/08/2019,Saag Dall,1,5.95,4
16072,01/08/2019,Vindaloo - Chicken,2,7.95,4
16072,01/08/2019,Special Fried Rice,1,3.95,4
16072,01/08/2019,Plain Naan,1,2.6,4
16072,01/08/2019,Bombay Aloo,1,5.95,4
16071,31/07/2019,Lamb Biryani,1,9.95,4
16071,31/07/2019,Chicken Biryani,1,9.95,4
16071,31/07/2019,Bombay Aloo,1,5.95,4
16071,31/07/2019,Peshwari Naan,1,2.95,4
16069,31/07/2019,Dhansak - Lamb,1,8.95,4
16069,31/07/2019,Korma - Chicken,1,8.95,4
16069,31/07/2019,Plain Naan,1,2.6,4
16069,31/07/2019,Pilau Rice,1,2.95,4
16068,31/07/2019,Pilau Rice,2,2.95,4
16068,31/07/2019,Chicken Tikka Masala,2,8.95,4
16068,31/07/2019,Madras - Chicken Tikka,1,7.95,4
16068,31/07/2019,Onion Bhajee,2,3.95,4
16067,31/07/2019,Chicken Tikka Jalfrezi,1,8.95,4
